"protein1","protein2","combined_score"
"9606.ENSP00000275493","9606.ENSP00000269305",943
"9606.ENSP00000297785","9606.ENSP00000498939",937
"9606.ENSP00000297785","9606.ENSP00000342007",931
"9606.ENSP00000297785","9606.ENSP00000437955",451
"9606.ENSP00000297785","9606.ENSP00000301141",924
"9606.ENSP00000297785","9606.ENSP00000269305",541
"9606.ENSP00000297785","9606.ENSP00000275493",582
"9606.ENSP00000297785","9606.ENSP00000260682",928
"9606.ENSP00000297785","9606.ENSP00000356438",407
"9606.ENSP00000301141","9606.ENSP00000496150",953
"9606.ENSP00000301141","9606.ENSP00000498939",975
"9606.ENSP00000301141","9606.ENSP00000342007",969
"9606.ENSP00000301141","9606.ENSP00000260682",946
"9606.ENSP00000301141","9606.ENSP00000297785",924
"9606.ENSP00000303706","9606.ENSP00000245960",938
"9606.ENSP00000303706","9606.ENSP00000320171",492
"9606.ENSP00000303706","9606.ENSP00000275493",587
"9606.ENSP00000303706","9606.ENSP00000269305",861
"9606.ENSP00000309572","9606.ENSP00000370083",483
"9606.ENSP00000309572","9606.ENSP00000275493",697
"9606.ENSP00000309572","9606.ENSP00000269305",902
"9606.ENSP00000309572","9606.ENSP00000437955",702
"9606.ENSP00000309572","9606.ENSP00000363822",420
"9606.ENSP00000320171","9606.ENSP00000275493",606
"9606.ENSP00000320171","9606.ENSP00000356438",508
"9606.ENSP00000320171","9606.ENSP00000215832",535
"9606.ENSP00000320171","9606.ENSP00000360683",468
"9606.ENSP00000320171","9606.ENSP00000269305",825
"9606.ENSP00000320171","9606.ENSP00000303706",492
"9606.ENSP00000320171","9606.ENSP00000437955",996
"9606.ENSP00000337353","9606.ENSP00000354522",992
"9606.ENSP00000340820","9606.ENSP00000370083",403
"9606.ENSP00000340820","9606.ENSP00000275493",830
"9606.ENSP00000340820","9606.ENSP00000215832",952
"9606.ENSP00000340820","9606.ENSP00000269305",442
"9606.ENSP00000342007","9606.ENSP00000260682",947
"9606.ENSP00000342007","9606.ENSP00000297785",931
"9606.ENSP00000342007","9606.ENSP00000496150",443
"9606.ENSP00000342007","9606.ENSP00000498939",968
"9606.ENSP00000342007","9606.ENSP00000437955",432
"9606.ENSP00000342007","9606.ENSP00000269305",581
"9606.ENSP00000342007","9606.ENSP00000301141",969
"9606.ENSP00000354522","9606.ENSP00000337353",992
"9606.ENSP00000354522","9606.ENSP00000416739",483
"9606.ENSP00000354522","9606.ENSP00000275493",417
"9606.ENSP00000354522","9606.ENSP00000269305",947
"9606.ENSP00000354612","9606.ENSP00000363512",970
"9606.ENSP00000354612","9606.ENSP00000275493",406
"9606.ENSP00000354612","9606.ENSP00000260682",936
"9606.ENSP00000354612","9606.ENSP00000356438",946
"9606.ENSP00000356438","9606.ENSP00000262209",456
"9606.ENSP00000356438","9606.ENSP00000498939",406
"9606.ENSP00000356438","9606.ENSP00000363822",423
"9606.ENSP00000356438","9606.ENSP00000437955",831
"9606.ENSP00000356438","9606.ENSP00000269305",974
"9606.ENSP00000356438","9606.ENSP00000363512",973
"9606.ENSP00000356438","9606.ENSP00000275493",836
"9606.ENSP00000356438","9606.ENSP00000260682",936
"9606.ENSP00000356438","9606.ENSP00000320171",508
"9606.ENSP00000356438","9606.ENSP00000215832",780
"9606.ENSP00000356438","9606.ENSP00000354612",946
"9606.ENSP00000356438","9606.ENSP00000297785",407
"9606.ENSP00000357283","9606.ENSP00000215832",496
"9606.ENSP00000357283","9606.ENSP00000275493",644
"9606.ENSP00000357283","9606.ENSP00000269305",676
"9606.ENSP00000360683","9606.ENSP00000215832",561
"9606.ENSP00000360683","9606.ENSP00000245960",514
"9606.ENSP00000360683","9606.ENSP00000320171",468
"9606.ENSP00000360683","9606.ENSP00000260682",416
"9606.ENSP00000360683","9606.ENSP00000275493",997
"9606.ENSP00000360683","9606.ENSP00000269305",444
"9606.ENSP00000363512","9606.ENSP00000356438",973
"9606.ENSP00000363512","9606.ENSP00000354612",970
"9606.ENSP00000363512","9606.ENSP00000260682",955
"9606.ENSP00000363822","9606.ENSP00000275493",864
"9606.ENSP00000363822","9606.ENSP00000309572",420
"9606.ENSP00000363822","9606.ENSP00000356438",423
"9606.ENSP00000363822","9606.ENSP00000215832",527
"9606.ENSP00000363822","9606.ENSP00000498939",423
"9606.ENSP00000363822","9606.ENSP00000269305",905
"9606.ENSP00000363822","9606.ENSP00000437955",871
"9606.ENSP00000370083","9606.ENSP00000309572",483
"9606.ENSP00000370083","9606.ENSP00000269305",714
"9606.ENSP00000370083","9606.ENSP00000340820",403
"9606.ENSP00000379904","9606.ENSP00000269305",705
"9606.ENSP00000379904","9606.ENSP00000215832",912
"9606.ENSP00000379904","9606.ENSP00000441235",539
"9606.ENSP00000416739","9606.ENSP00000354522",483
"9606.ENSP00000416739","9606.ENSP00000269305",471
"9606.ENSP00000437955","9606.ENSP00000275493",934
"9606.ENSP00000437955","9606.ENSP00000356438",831
"9606.ENSP00000437955","9606.ENSP00000309572",702
"9606.ENSP00000437955","9606.ENSP00000215832",985
"9606.ENSP00000437955","9606.ENSP00000297785",451
"9606.ENSP00000437955","9606.ENSP00000320171",996
"9606.ENSP00000437955","9606.ENSP00000342007",432
"9606.ENSP00000437955","9606.ENSP00000363822",871
"9606.ENSP00000437955","9606.ENSP00000269305",999
"9606.ENSP00000441235","9606.ENSP00000379904",539
"9606.ENSP00000441235","9606.ENSP00000269305",432
"9606.ENSP00000496150","9606.ENSP00000498939",961
"9606.ENSP00000496150","9606.ENSP00000342007",443
"9606.ENSP00000496150","9606.ENSP00000301141",953
"9606.ENSP00000496150","9606.ENSP00000260682",781
"9606.ENSP00000498939","9606.ENSP00000356438",406
"9606.ENSP00000498939","9606.ENSP00000297785",937
"9606.ENSP00000498939","9606.ENSP00000275493",477
"9606.ENSP00000498939","9606.ENSP00000260682",980
"9606.ENSP00000498939","9606.ENSP00000269305",437
"9606.ENSP00000498939","9606.ENSP00000301141",975
"9606.ENSP00000498939","9606.ENSP00000496150",961
"9606.ENSP00000498939","9606.ENSP00000363822",423
"9606.ENSP00000498939","9606.ENSP00000342007",968
